X_id,Project.ID,Addresses,Anchor.Address,Status,Ward,Affordable.Homes.Approved..2020...Present.,Total.ARH.Approved..2017...Present.,Rent.Controlled.Market.Units.Approved,RGI.Homes.Approved,geometry
194,ARH0205,729 St Clair Avenue West,729 St Clair Ave W,Pre-Planning,12,26,26,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4274778, 43.6811414]]}"
195,ARH0206,75 Tandridge Crescent,75 Tandridge Crescent,Cancelled,1,113,113,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.54647089, 43.72900648]]}"
196,ARH0207,770 Don Mills Road,770 Don Mills Rd,Under Review,16,418,418,428,41.8,"{'type': 'MultiPoint', 'coordinates': [[-79.33814896, 43.7164526]]}"
197,ARH0208,777 Victoria Park,777 Victoria Park Ave,Under Review,20,254,254,335,25.4,"{'type': 'MultiPoint', 'coordinates': [[-79.28915706, 43.69454357]]}"
198,ARH0209,7-9 Norris Crescent,17 Norris Cr,Pre-Planning,3,33,33,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.48839647, 43.61104091]]}"
199,ARH0210,80 Dale Avenue,80 Dale Ave,Under Review,24,0,116,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2057405, 43.75275125]]}"
200,ARH0211,805 Don Mills Road,805 Don Mills Rd,Under Review,16,286,286,268,28.6,"{'type': 'MultiPoint', 'coordinates': [[-79.33830504, 43.72021841]]}"
201,ARH0212,815-845 Eglinton Avenue East,815 Eglinton Ave E,Under Review,15,40,40,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.36428549, 43.7135245]]}"
202,ARH0213,82 Buttonwood Avenue,82 Buttonwood Ave,Cancelled,5,0,76,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.50937845, 43.68984339]]}"
203,ARH0214,835-841 Queen Street East,835 Queen St E,Pre-Planning,14,96,96,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.34403496, 43.65999345]]}"
204,ARH0215,838 - 844 Broadview Avenue,838 Broadview Ave,Under Review,14,2,18,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35866499, 43.67863314]]}"
205,ARH0216,"844 Don Mills Road, 1150 and 1155 Eglinton Avenue East",844 Don Mills Rd,Under Construction,16,0,393,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.34166945, 43.72263807]]}"
206,ARH0217,877 Yonge Street (Phase 1),877 Yonge St,Occupied,11,88,88,NA,88,"{'type': 'MultiPoint', 'coordinates': [[-79.38797583, 43.67425754]]}"
207,ARH0218,880 - 882 & 888 Eastern Avenue and 74 - 80 Knox Avenue,880 Eastern Ave,Under Review,14,6,6,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.325966, 43.662967]]}"
208,ARH0219,880-884 Kingston Road,884 Kingston Rd,Pre-Planning,19,20,50,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.29032179, 43.68043916]]}"
209,ARH0221,888 Dupont Street,888 Dupont St,Under Review,11,20,20,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.42892166, 43.67055435]]}"
210,ARH0222,9 Huntley Street,9 Huntley Street,Occupied,13,0,20,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.37764114, 43.66873476]]}"
211,ARH0223,"90 and 100 Simcoe Street, 130 Pearl Street, and 203, 207, and 211 Adelaide Street West",100 Simcoe St,Under Review,24,28,28,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38676275, 43.64820052]]}"
212,ARH0224,900 Dufferin Street,900 Dufferin St,Under Review,9,120,120,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.43536233, 43.65581706]]}"
213,ARH0225,930 Albion Road,930 Albion Rd,Under Review,1,60,60,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.56150718, 43.73575354]]}"
214,ARH0226,938-960 King Street West and 95-99 Strachan Avenue,950 King St W,Under Review,10,35,35,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.41180491, 43.64228928]]}"
215,ARH0227,963-967 Pharmacy Avenue,963 Pharmacy Ave,Under Review,21,8,8,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.30050342, 43.73485737]]}"
216,ARH0228,976 College Street,976 College St,Pre-Planning,9,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.427965, 43.65343336]]}"
217,ARH0229,989 College Street,989 College St,Under Review,9,0,17,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.42793632, 43.65305263]]}"
218,ARH0230,175 Oak Street - Block 16N (Regent Park Phase 2 and 3),175 Oak St,Under Construction,13,24,24,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.36058855, 43.66205296]]}"
219,ARH0232,"Bloor-Kipling Block 3, 6, 7 (3741 Bloor Street West and part 925 Kipling Avenue)",5207 Dundas St W ,Under Review,3,490,490,490,49,"{'type': 'MultiPoint', 'coordinates': [[-79.53339886, 43.64010721]]}"
220,ARH0233,Bloor-Kipling (Block 1),5207 Dundas St W ,Under Construction,3,218,218,507,21.8,"{'type': 'MultiPoint', 'coordinates': [[-79.53339886, 43.64010721]]}"
221,ARH0234,Bloor-Kipling (Block 5),5207 Dundas St W ,Under Review,3,196,196,195,19.6,"{'type': 'MultiPoint', 'coordinates': [[-79.53339886, 43.64010721]]}"
222,ARH0235,Covenant House Trafficking Home (confidential),N/A,Occupied,0,0,6,NA,0,"{'type': 'MultiPoint', 'coordinates': []}"
223,ARH0236,East Bayfront - Block R6 (263 Queen Quay East),263 Queens Quay East,Pre-Planning,10,199,199,126,19.9,"{'type': 'MultiPoint', 'coordinates': [[-79.36176291, 43.64649974]]}"
224,ARH0237,East Harbour (21 Don Valley Parkway N),21 Don Valley Parkway N,Under Review,14,215,215,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.34784114, 43.6535527]]}"
225,ARH0239,Lawrence Heights (3 Flemington Road),3 Flemington Rd,Final Planning Approval,8,130,130,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.44214501, 43.71915706]]}"
226,ARH0241,"Mirvish Village (Phase 1+2) 571-597 Bloor Street West, 738-782 Bathurst Street, 26-38 Lennox Street, 581-603 and 588-612 Markham Street",571 Bloor St W ,Under Construction,11,0,85,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.41148094, 43.66485611]]}"
227,ARH0242,"259 Lakeshore blvd East, 200 Queens Quay East (Quayside)",259 Lake Shore Blvd,Under Review,10,468,468,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.36340485, 43.64620743]]}"
228,ARH0243,150 River Street - Regent Park Block 17 ,150 River Street,Occupied,13,0,33,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35876763, 43.6621411]]}"
229,ARH0244,110 River Street - Regent Park Block 27,110 River Street,Occupied,13,0,93,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35874556, 43.6608988]]}"
230,ARH0245,Regent Park Phase 4 and 5 (multiple addresses),591 Dundas St E,Under Review,13,637,637,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.362694, 43.661805]]}"
231,ARH0246,"West Don Lands (Blocks 3W, 4W, 7W)",373 Front St E,Under Construction,13,275,698,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35783621, 43.65143587]]}"
232,ARH0247,333 Lake Shore Boulevard East (Quayside),333 Lake Shore Blvd E,Under Review,10,407,407,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.359578, 43.647133]]}"
233,ARH0248,877 Yonge Street (Phase 2),877 Yonge Street,Occupied,11,156,156,NA,156,"{'type': 'MultiPoint', 'coordinates': [[-79.359578, 43.647133]]}"
234,ARH0249,537 Broadview Avenue,537 Broadview Avenue,Pre-Planning,14,12,12,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35410492, 43.67134736]]}"
235,ARH0250,3060 Eglinton Avenue East,3060 Eglinton Avenue East,Under Review,24,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.22796782, 43.74171849]]}"
236,ARH0251,46-52 Laing Street,52 Laing St,Under Review,14,6,6,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.32716007, 43.663138]]}"
